seller_id,shop_name,seller_type,email,contact_phone,province,city,join_date,status,fbs_standard,use_logistics,warehouse
S0001,KhongSukSuk,Company,virginia@khongsuksuk.com,782718024,Nakhon Pathom,Nakhon Pathom,2021-12-29,Active,Standard,0,0
S0002,KhongStarThong,Company,belinda@khongstarthong.com,877362143,Bangkok,Bangkok,2022-01-01,Active,Standard,0,0
S0003,MongkolStar,Company,aaron@mongkolstar.com,898057956,Samut Prakan,Samut Prakan,2022-01-05,Active,FBS,1,1
S0004,StarBaan,Company,matthew@starbaan.com,840611877,Samut Prakan,Samut Prakan,2022-01-03,Active,Standard,0,0
S0005,MongkolSuk,Company,zachary@mongkolsuk.com,764393111,Samut Prakan,Samut Prakan,2022-01-11,Active,Standard,0,0
S0006,FamilySabaiFamily,Individual,cody@gmail.com,788876837,Bangkok,Bangkok,2022-01-11,Active,Standard,0,0
S0007,ThongThongMongkol,Company,randall@thongthongmongkol.com,769408512,Samut Prakan,Samut Prakan,2022-01-17,Active,Standard,0,0
S0008,StarSuay,Company,donna@starsuay.com,702832777,Samut Prakan,Samut Prakan,2022-01-01,Active,Standard,0,0
S0009,StarThong,Company,david@starthong.com,881662274,Pathum Thani,Pathum Thani,2022-01-18,Active,Standard,0,0
S0010,SuayTaladThong,Company,thomas@suaytaladthong.com,696336946,Nakhon Pathom,Nakhon Pathom,2022-01-24,Active,Standard,0,0
S0011,DeeSabaiThong,Company,stephanie@deesabaithong.com,897082332,Bangkok,Bangkok,2022-01-07,Active,Standard,0,0
S0013,SabaiFamily,Individual,ashley@gmail.com,627582667,Samut Prakan,Samut Prakan,2022-01-12,Active,Standard,0,0
S0012,StarMongkolKhong,Company,raymond@starmongkolkhong.com,655076321,Samut Prakan,Samut Prakan,2022-01-31,Active,Standard,0,0
S0014,SuayFamilyTalad,Company,karen@suayfamilytalad.com,864004426,Samut Sakhon,Samut Sakhon,2022-02-06,Active,Standard,0,0
S0015,SabaiStar,Individual,luis@gmail.com,763120451,Pathum Thani,Pathum Thani,2022-02-06,Active,FBS,1,1
